netid,p1q1,p1q2,p1q3,p1q4,p1,p2q1,p2q2,p2q3,p2q4,p2,treat,treatreal,group,Q29p,Q30p,Q28p,Q6p,Q7p,Q8p,Q9p,Q10p,Q11p,Q12p,Q13p,Q14p,Q17p,Q18p,Q19p,Q20p,Q21p,Q22p,Q23p,Q24p,Q25p,Q26p,Q27p,Q28,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27
smc479,25,25,18,25,93,24,25,24,25,98,treat1,1,#N/A,2,13,3,3,2,2,1,2,1,1,1,2,2,1,2,2,1,1,2,2,1,1,1,3,1,1,1,3,2,2,2,2,3,2,1,2,2,1,2,2,1,1,2,1
mkc228,25,24.5,18,15.5,83,23,24,24,19,90,treat1,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,4,3,2,5,4,5,4,4,4,4,4,5,2,3,2,3,2,4,3,2
sec288,22,19.5,22,20,83.5,24,24.5,22,23,93.5,treat1,1,#N/A,3,14,2,2,3,4,2,2,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ljc238,25,24.5,23,23,95.5,24,25,25,25,99,treat3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,4,5,2,1,2,1,1,1,3,3,4,4,3,2,2,2,2,1,2,1
aic39,22,22.5,18,14,76.5,23,23,25,23,94,treat2,1,#N/A,3,14,3,2,2,4,4,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,4,4,4,4,4,4,4,4,4,4,2,3,2,2,2,2,2,2
emc294,25,24.5,23,24,96.5,24,25,21,21,91,treat3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2
aac99,25,22,22,24,93,24,23,22,25,94,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
egc58,20,22,20,22.5,84.5,21,22,19,17,79,treat2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2
cmc547,22,21,20,19,82,22,21,22,23,88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
jac734,25,22.5,18,25,90.5,25,25,25,23,98,treat1,1,#N/A,2,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1
ctc95,25,25,25,24.5,99.5,24,23,25,25,97,treat3,1,#N/A,2,14,3,2,2,3,2,1,1,1,2,2,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,1,2,1,1,1,2,2,2,2,2,1
anc74,25,23,21,24,93,22,24,25,19,90,treat1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,2,2,1
jgc238,24,23,22,24,93,16,23.5,21,17,77.5,treat2,1,#N/A,3,14,2,3,3,3,3,4,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,3,3,4,4,4,4,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2
xc246,25,25,22,24.5,96.5,24,23,25,23,95,treat2,1,1,3,13,1,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,2,1,1,4,1,1,1,2,4,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1
asc327,24,21.5,25,24,94.5,24,24,25,19,92,treat1,1,#N/A,3,14,1,1,2,4,2,2,2,4,2,3,2,2,2,2,2,2,4,2,3,2,1,2,2,3,4,3,2,2,3,2,2,2,2,3,2,2,2,4,2,2,2,2
mec377,25,24,23,23.5,95.5,24,25,24,24,97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
gd369,25,23,22,23,93,22,24.5,22,22,90.5,treat1,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,2,3,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
ard99,25,20,18,25,88,23,22,23,15,83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
td343,25,22,18,23,88,23,23,20,21,87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
bwd46,20,11.5,21,20,72.5,21,21,17,12,71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
aed229,25,25,21,24.5,95.5,25,23,25,23,96,treat1,1,#N/A,1,13,2,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,1
isd9,25,25,18,24,92,24,25,24,25,98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
dbd63,25,24,21,25,95,24,25,24,25,98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
vad34,24,22.5,22,18,86.5,24,24.5,21,17,86.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
cmd328,22,24.5,21,24.5,92,24,24,23.5,17,88.5,treat1,1,#N/A,3,14,2,2,2,2,1,1,1,1,1,4,2,2,2,2,3,1,4,1,2,2,1,2,2,1,2,1,1,1,1,1,3,2,2,1,1,2,2,2,2,1,1,1
smd357,25,24.5,21,24,94.5,24,24,24,25,97,treat3,1,1,1,15,2,2,4,5,5,5,4,3,2,2,1,3,2,1,2,2,4,2,2,2,1,2,1,3,5,2,2,2,3,1,2,2,3,3,3,2,2,2,2,2,4,2
twd36,21,12,22,19,74,23,19.5,21.5,14,78,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
jpd274,25,23.5,18,24.5,91,24,25,20,21,90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
rsd227,25,25,21,23.5,94.5,24,25,22,17,88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
mfd62,25,25,25,25,100,25,20,25,23,93,treat2,1,#N/A,3,14,2,4,5,4,4,2,2,4,2,4,5,4,4,5,2,4,2,4,1,1,1,2,2,2,2,2,1,1,3,1,2,4,4,4,3,2,2,2,1,1,1,1
ad676,25,20.5,18,22,85.5,22,22,22,19,85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ane25,21,19,18,19.5,77.5,19,17,18,10,64,treat2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,2,2,2,2,2,2,3,2,1,2,2,1,2,1,2,3,1,1,1
ime24,23,23.5,18,23,87.5,24,22,25,25,96,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ime26,25,24.5,18,23,90.5,24,22,23,23,92,treat3,1,#N/A,0,14,2,3,2,4,2,1,2,2,1,2,1,2,1,2,2,1,4,2,2,1,1,2,3,2,4,2,1,1,2,2,2,1,2,1,1,2,2,2,2,1,2,1
sf449,25,23,25,25,98,24,23,24,25,96,treat1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,2,2,3,2,2,2,2,2,2,2,4,2,1,2,1,2,2,2,2
wf226,25,9,21,24.5,79.5,22,9,19,21,71,treat1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,2,2,3,3,4,3,3,2,4,3,4,3,2,2,2,2,2,3,3,2
dbf73,25,24.5,22,24,95.5,24,25,24,23,96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
daf273,25,23.5,25,25,98.5,23,25,24,12,84,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
elf79,25,24,18,25,92,24,24,24,19,91,treat1,1,1,2,13,2,3,2,4,1,2,2,2,1,3,2,1,3,2,2,3,3,1,1,2,1,1,2,1,2,2,2,2,2,1,2,3,1,4,2,3,2,2,2,1,1,1
haf52,22,21.5,19,21.5,84,24,19,18.5,19,80.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
lnf25,25,25,25,25,100,23,25,25,19,92,treat3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
arf73,21,19.5,18,17.5,76,24,24,24,23,95,treat2,1,#N/A,2,13,2,3,3,2,2,1,2,2,2,1,2,4,4,2,2,4,2,2,1,2,2,4,3,4,5,2,2,1,3,2,3,2,2,2,2,2,2,2,2,3,2,2
ebf46,25,25,25,24,99,23,24,25,25,97,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
asf223,22,22.5,18,18.5,81,15,25,22.5,25,87.5,treat1,1,#N/A,3,13,2,2,3,5,3,4,3,3,2,5,3,4,4,1,3,1,5,3,1,1,1,5,2,2,5,5,2,2,2,2,3,2,3,2,2,2,3,1,2,1,1,1
hf245,24,20,20,24,88,23,25,23,16,87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
mg894,25,25,18,18,86,24,24.5,24,23,95.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
eg556,25,23,12,23,83,25,25,25,25,100,treat3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,2,2,2,1,1,1,2,2,1,3,1,2,2,1,1,2,2,1,3,1
gg373,25,18.5,21,17.5,82,23,13,19,22,77,treat1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,2,2,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2
mtg86,25,23.5,22,23.5,94,24,23,25,19,91,treat3,1,#N/A,0,14,3,3,4,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,2,4,3,3,3,3,2,2,2,3,2,2,2
bag222,25,21.5,21,23.5,91,24,23,21,23,91,treat2,1,#N/A,2,13,1,1,2,2,1,1,1,3,1,1,1,2,2,1,1,2,1,1,2,2,1,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2
nkg24,25,21,18,21.5,85.5,25,21,19,23,88,treat2,1,#N/A,4,14,2,2,2,2,3,1,2,2,2,3,2,2,2,2,1,3,2,2,1,1,1,1,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,1
tag225,25,19,15,19,78,23,23,22,13,81,treat1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,5,5,5,4,2,4,3,2,5,5,2,5,5,2,2,4,2,2,2,2
dwg83,23,23,21,25,92,25,23.5,22,20,90.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
gg457,25,22,21,24,92,24,24,20,23,91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
mag388,23,24.5,19,22,88.5,22,20,24,23,89,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
tjg77,24,21,21,24,90,24,21,22,23,90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
tmg66,25,25,21,24,95,24,25,21,25,95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sg2343,22,22.5,25,24,93.5,23,24,24,21,92,treat1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,2,2,2,2,2,1,2,2,2,1,4,2,1,1,2,2,2,2,1
jag526,24,23.5,18,25,90.5,24,24,21,23,92,treat2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,2,2,2,1,1,3,1,3,3,2,3,2,1,2,2,2,2,2,2
ag878,25,23.5,21,24,93.5,24,23,25,23,95,treat3,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,2,2,4,2,2,2,3,3,1,2,1,1,2,2,2,2,2,2,1
ekg42,25,24,18,23,90,24,24,25,25,98,treat3,1,#N/A,0,13,2,2,2,3,1,2,1,2,1,2,2,3,2,1,2,1,2,1,2,4,2,2,1,1,4,2,2,2,3,1,2,3,2,1,1,1,1,1,2,3,3,2
